Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude,,,Labels
41,Microsoft,72.9,15.5,128.7,234.8,USA,North America,47.674,-122.1215,,,"No.41.Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services."
42,ItaÃº Unibanco Holding,70.5,6.2,453.6,82,Brazil,South America,-23.5505,-46.6333,,,"No.42.Banco Itaú Unibanco S.A. is a Brazilian financial services company headquartered in São Paulo, Brazil. Itaú Unibanco was formed through the merger of Banco Itaú and Unibanco in 2008"
43,Banco Santander,108.8,2.9,1647.8,82.1,Spain,Europe,40.4168,-3.7038,,,"No.43.Banco Santander, S.A., doing business as Santander Group, is a Spanish multinational financial services company based in Madrid and Santander in Spain. Additionally, Santander maintains a presence in all global financial centres as the 16th-largest banking institution in the world."
44,BHP Billiton,72.2,15.4,129.3,184.7,Australia,Oceania,-37.8136,144.9631,,,"No.44. BHP Billiton, international natural resources company, formed in 2001 by the merger of BHP Ltd. and Billiton PLC. Head Office Melbourne"
45,Banco Bradesco,78.3,5.6,417.5,72,Brazil,South America,-23.5372,-46.7962,,,"No.45.Banco Bradesco S.A. is a Brazilian financial services company headquartered in Osasco, in the state of São Paulo, Brazil. It is the third largest banking institution in Brazil, as well as the third largest in Latin America, and the seventy-ninth largest bank in the world"
46,Nippon Telegraph & Tel,126.9,5.6,226,58.2,Japan,Asia,35.6804,139.769,,,"No.46.The Nippon Telegraph and Telephone Corporation, commonly known as NTT, is a Japanese telecommunications company headquartered in Tokyo, Japan"
46,Johnson & Johnson,67.2,10.9,121.3,221.4,USA,North America,40.4862,-74.4518,,,"No.47.Johnson & Johnson is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Headquarters: New Brunswick, New Jersey, United States."
48,Westpac Banking Group,43.9,6.2,699.6,98.9,Australia,Oceania,-33.8688,151.1899,,,"No.48.Westpac Banking Corporation, known simply as Westpac, is an Australian bank and financial services provider headquartered in Sydney, Australia. Established in 1817 as the Bank of New South Wales, it acquired the Commercial Bank of Australia in 1982 before being renamed shortly afterwards. "
49,Goldman Sachs Group,41.7,7.5,938.6,74.5,USA,North America,40.7127,-74.0056,,,"No.49.The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City. It offers services in investment management, securities, asset management, prime brokerage, and securities underwriting. "
50,Royal Bank of Canada,38.3,7.7,838.5,87.2,Canada,North America,43.6532,-79.3832,,,"No.50.Royal Bank of Canada is a Canadian multinational financial services company and the largest bank in Canada by market capitalization. The bank serves over 16 million clients and has 86,000+ employees worldwide. Headquarters: Toronto, Canada."
51,Siemens,100.6,5.7,134.4,91.9,Germany,Europe,48.1351,11.582,,,No 51. Siemens AG is a German multinational conglomerate company headquartered in Munich and the largest industrial manufacturing company in Europe with branch offices abroad.
51,Sumitomo Mitsui Financial,47.3,6.3,1733.2,57.6,Japan,Asia,35.6746,139.762,,,"No 52.Sumitomo Mitsui Banking Corporation Group (SMBC Group; 株式会社三井住友銀行, Kabushikigaisha mitsui sumitomo ginkō) is a Japanese multinational banking and financial services institution headquartered in Yurakucho, Chiyoda, Tokyo, Japan. The group operates in retail, corporate, and investment banking segment worldwide."
53,Ford Motor,134.3,5.7,190.6,51.8,USA,North America,42.3223,-83.1763,,,"No 53. The Ford Motor Company, commonly known as Ford, is an American multinational automaker that has its main headquarters in Dearborn, Michigan, a suburb of Detroit. It was founded by Henry Ford and incorporated on June 16, 1903."
54,Bank of Communications,43.5,9.4,846.4,56.7,China,Asia,31.2304,121.4737,,,"No 54. Bank of Communications Limited, is the fifth-largest bank in mainland China. Established in 1908, the Bank of Communications claims a long history in China and is one of the banks to have issued banknotes in modern Chinese history. Headquarters: Shanghai, China."
55,BMW Group,98.8,6.6,165.5,60,Germany,Europe,48.1351,11.451526,,,"N0.55.Bayerische Motoren Werke AG, commonly referred to as BMW, is a German multinational corporation which produces luxury vehicles and motorcycles. The company was founded in 1916 as a manufacturer of aircraft engines, which it produced from 1917 until 1918 and again from 1933 to 1945. Headquarters: Munich, Germany."
56,Comcast,62.6,6.2,165,106.3,USA,North America,39.9526,-75.1652,,,"No.56.Comcast Corporation is an American telecommunications conglomerate headquartered in Philadelphia, Pennsylvania. "
58,National Australian Bank,49.2,4.2,791.3,76.3,Australia,Oceania,-37.8135,144.775136,,,"N0.58.National Australia Bank is one of the four largest financial institutions in Australia in terms of market capitalisation, earnings and customers. NAB was ranked 21st largest bank in the world measured by market capitalisation and 52nd largest bank in the world as measured by total assets in 2019. Headquarters: Melbourne, Australia"
